date,description,amount,transaction_type,Category,Label,year,month,day,day_of_week,year_month,base_category,cluster_id,is_anomaly,anomaly_score
2025-03-09,Netflix.com,56.09,Debit,Entertainment,Normal,2025,3,9,6,2025-03,Entertainment,4,False,-0.5436663376419157
2025-01-10,UBER TRIP 284922 CA,16.63,Debit,Transport,Normal,2025,1,10,4,2025-01,Transport,0,False,-0.5198026068769606
2025-02-25,CINEMA CITY,38.5,Debit,Entertainment,Normal,2025,2,25,1,2025-02,Other,2,False,-0.4325021394032356
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit,Income,Recurring,2025,1,1,2,2025-01,Income,3,True,-0.7365577607413828
2025-01-12,STEAM PURCHASE,78.44,Debit,Entertainment,Normal,2025,1,12,6,2025-01,Other,0,False,-0.524963463066548
2025-02-13,H&M STORE 42,84.0,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,0,False,-0.45031646111715995
2025-01-17,ELECTRIC BILL,49.2,Debit,Utilities,Normal,2025,1,17,4,2025-01,Utilities,0,False,-0.5271513126525955
2025-02-27,LOCAL GROCERY MART,89.15,Debit,Groceries,Normal,2025,2,27,3,2025-02,Other,0,False,-0.43435483321444324
2025-03-27,Starbucks Store 0032,21.29,Debit,Food,Normal,2025,3,27,3,2025-03,Food,4,False,-0.5002229180328732
2025-01-19,McDonalds #8492,35.1,Debit,Food,Normal,2025,1,19,6,2025-01,Food,4,False,-0.5739392733314712
2025-03-19,PAYPAL *SPOTIFY,59.1,Debit,Entertainment,Normal,2025,3,19,2,2025-03,Entertainment,4,False,-0.517119634215873
2025-02-18,GAS COMPANY,170.6,Debit,Utilities,Normal,2025,2,18,1,2025-02,Other,2,False,-0.4922815495026191
2025-02-07,LYFT RIDE PGH,26.77,Debit,Transport,Normal,2025,2,7,4,2025-02,Transport,1,False,-0.47962487049420244
2025-02-26,STEAM PURCHASE,45.73,Debit,Entertainment,Normal,2025,2,26,2,2025-02,Other,2,False,-0.42632600261395465
2025-02-13,AMAZON MKTP US*2R9,127.72,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,0,False,-0.44642770183603253
2025-03-09,WM SUPERCENTER #382,118.21,Debit,Groceries,Normal,2025,3,9,6,2025-03,Other,1,False,-0.5133265923929257
2025-03-29,CINEMA CITY,51.93,Debit,Entertainment,Normal,2025,3,29,5,2025-03,Other,1,False,-0.44676681880801167
2025-03-13,ZARA MALL 09,193.64,Debit,Shopping,Normal,2025,3,13,3,2025-03,Shopping,2,False,-0.5079338812169518
2025-02-03,ELECTRIC BILL,142.16,Debit,Utilities,Normal,2025,2,3,0,2025-02,Utilities,2,False,-0.5426068022304344
2025-03-11,Netflix.com,50.52,Debit,Entertainment,Normal,2025,3,11,1,2025-03,Entertainment,4,False,-0.5058452965488701
2025-01-25,Local Diner,9.18,Debit,Food,Normal,2025,1,25,5,2025-01,Food,4,False,-0.5578239519153958
2025-01-24,APPLE STORE #R1234,120.25,Debit,Shopping,Normal,2025,1,24,4,2025-01,Shopping,0,False,-0.4897021560169065
