Transaction Date,Description,Amount,Transaction_Type,Category,Label
2025-03-09,Netflix.com,56.09,Debit,Entertainment,Normal
2025-01-10,UBER TRIP 284922 CA,16.63,Debit,Transport,Normal
2025-02-25,CINEMA CITY,38.5,Debit,Entertainment,Normal
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit,Income,Recurring
2025-01-12,STEAM PURCHASE,78.44,Debit,Entertainment,Normal
2025-02-13,H&M STORE 42,84.0,Debit,Shopping,Normal
2025-01-17,ELECTRIC BILL,49.2,Debit,Utilities,Normal
2025-02-27,LOCAL GROCERY MART,89.15,Debit,Groceries,Normal
2025-03-27,Starbucks Store 0032,21.29,Debit,Food,Normal
2025-01-19,McDonalds #8492,35.1,Debit,Food,Normal
2025-03-19,PAYPAL *SPOTIFY,59.1,Debit,Entertainment,Normal
2025-02-18,GAS COMPANY,170.6,Debit,Utilities,Normal
2025-02-07,LYFT RIDE PGH,26.77,Debit,Transport,Normal
2025-02-26,STEAM PURCHASE,45.73,Debit,Entertainment,Normal
2025-02-13,AMAZON MKTP US*2R9,127.72,Debit,Shopping,Normal
2025-03-09,WM SUPERCENTER #382,118.21,Debit,Groceries,Normal
2025-03-29,CINEMA CITY,51.93,Debit,Entertainment,Normal
2025-03-13,ZARA MALL 09,193.64,Debit,Shopping,Normal
2025-02-03,ELECTRIC BILL,142.16,Debit,Utilities,Normal
2025-03-11,Netflix.com,50.52,Debit,Entertainment,Normal
2025-01-25,Local Diner,9.18,Debit,Food,Normal
2025-01-24,APPLE STORE #R1234,120.25,Debit,Shopping,Normal
2025-02-12,PAYPAL *SPOTIFY,17.91,Debit,Entertainment,Normal
2025-03-03,GAS COMPANY,100.98,Debit,Utilities,Normal
2025-02-24,McDonalds #8492,11.16,Debit,Food,Normal
2025-02-10,PAYPAL *SPOTIFY,39.66,Debit,Entertainment,Normal
2025-01-16,INTERNET CHARGES,148.5,Debit,Utilities,Normal
2025-03-19,SHELL STATION #221,58.11,Debit,Transport,Normal
2025-03-31,LOCAL GROCERY MART,106.15,Debit,Groceries,Normal
2025-01-11,CINEMA CITY,69.37,Debit,Entertainment,Normal
2025-02-12,LOCAL GROCERY MART,133.04,Debit,Groceries,Normal
2025-03-22,LYFT RIDE PGH,21.76,Debit,Transport,Normal
2025-01-13,ELECTRIC BILL,115.27,Debit,Utilities,Normal
2025-03-07,WATER BILL,166.83,Debit,Utilities,Normal
2025-02-11,GAS COMPANY,113.57,Debit,Utilities,Normal
2025-02-25,UBER TRIP 284922 CA,57.21,Debit,Transport,Normal
2025-02-26,ELECTRIC BILL,135.24,Debit,Utilities,Normal
2025-01-07,PAYPAL *SPOTIFY,18.74,Debit,Entertainment,Normal
2025-01-06,TARGET T-2812,110.91,Debit,Shopping,Normal
2025-02-24,Netflix.com,35.7,Debit,Entertainment,Normal
2025-02-07,UBER TRIP 284922 CA,8.48,Debit,Transport,Normal
2025-02-09,APPLE STORE #R1234,111.59,Debit,Shopping,Normal
2025-03-25,UBER TRIP 284922 CA,17.21,Debit,Transport,Normal
2025-01-20,McDonalds #8492,31.41,Debit,Food,Normal
2025-01-29,COSTCO WHOLESALE,127.07,Debit,Groceries,Normal
2025-03-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring
2025-03-18,INTERNET CHARGES,177.27,Debit,Utilities,Normal
2025-02-19,LYFT RIDE PGH,55.94,Debit,Transport,Normal
2025-01-11,WATER BILL,49.59,Debit,Utilities,Normal
2025-03-01,GAS COMPANY,47.59,Debit,Utilities,Normal
2025-02-21,TARGET T-2812,194.95,Debit,Shopping,Normal
2025-01-18,SPAR HYPERMARKET,47.72,Debit,Groceries,Normal
2025-03-10,COSTCO WHOLESALE,86.03,Debit,Groceries,Normal
2025-02-08,ELECTRIC BILL,171.45,Debit,Utilities,Normal
2025-02-05,WATER BILL,127.5,Debit,Utilities,Normal
2025-03-12,WM SUPERCENTER #382,81.85,Debit,Groceries,Normal
2025-03-15,Netflix.com Subscription,15.99,Debit,Entertainment,Recurring
2025-02-01,SHELL STATION #221,29.43,Debit,Transport,Normal
2025-01-15,McDonalds #8492,26.96,Debit,Food,Normal
2025-02-06,KFC Outlet 22,25.91,Debit,Food,Normal
2025-01-21,McDonalds #8492,11.08,Debit,Food,Normal
2025-03-24,SPAR HYPERMARKET,42.86,Debit,Groceries,Normal
2025-03-16,Starbucks Store 0032,37.51,Debit,Food,Normal
2025-03-09,GAS COMPANY,164.5,Debit,Utilities,Normal
2025-02-21,CINEMA CITY,40.66,Debit,Entertainment,Normal
2025-02-04,YELLOW CAB CO,24.62,Debit,Transport,Normal
2025-03-30,LOCAL GROCERY MART,82.1,Debit,Groceries,Normal
2025-01-11,LYFT RIDE PGH,45.44,Debit,Transport,Normal
2025-02-16,GAS COMPANY,127.56,Debit,Utilities,Normal
2025-01-25,COSTCO WHOLESALE,150.0,Debit,Groceries,Normal
2025-01-02,KFC Outlet 22,26.74,Debit,Food,Normal
2025-02-04,INTERNET CHARGES,59.22,Debit,Utilities,Normal
2025-02-21,UBER TRIP 284922 CA,16.56,Debit,Transport,Normal
2025-03-17,ZARA MALL 09,166.96,Debit,Shopping,Normal
2025-02-01,ELECTRIC BILL,126.71,Debit,Utilities,Normal
2025-01-25,CINEMA CITY,33.7,Debit,Entertainment,Normal
2025-02-03,WATER BILL,170.66,Debit,Utilities,Normal
2025-02-12,McDonalds #8492,30.59,Debit,Food,Normal
2025-01-21,ZARA MALL 09,91.68,Debit,Shopping,Normal
2025-03-05,STEAM PURCHASE,62.32,Debit,Entertainment,Normal
2025-02-25,Starbucks Store 0032,21.09,Debit,Food,Normal
2025-02-01,YELLOW CAB CO,37.02,Debit,Transport,Normal
2025-01-03,ELECTRIC BILL,150.15,Debit,Utilities,Normal
2025-02-05,ELECTRIC BILL,146.23,Debit,Utilities,Normal
2025-03-25,Dominos Pizza,30.23,Debit,Food,Normal
2025-02-10,Dominos Pizza,20.02,Debit,Food,Normal
2025-01-31,METRO TICKET,9.37,Debit,Transport,Normal
2025-02-13,PAYPAL *SPOTIFY,31.98,Debit,Entertainment,Normal
2025-02-12,PAYPAL *SPOTIFY,56.25,Debit,Entertainment,Normal
2025-02-03,STEAM PURCHASE,26.08,Debit,Entertainment,Normal
2025-01-15,GAS COMPANY,165.93,Debit,Utilities,Normal
2025-04-01,Netflix.com,39.94,Debit,Entertainment,Normal
2025-03-15,INTERNET CHARGES,105.44,Debit,Utilities,Normal
2025-01-10,H&M STORE 42,218.21,Debit,Shopping,Normal
2025-01-24,H&M STORE 42,68.79,Debit,Shopping,Normal
2025-02-19,WM SUPERCENTER #382,132.09,Debit,Groceries,Normal
2025-02-23,ELECTRIC BILL,109.73,Debit,Utilities,Normal
2025-01-29,ELECTRIC BILL,177.92,Debit,Utilities,Normal
2025-03-26,LOCAL GROCERY MART,141.84,Debit,Groceries,Normal
2025-02-11,GAS COMPANY,42.73,Debit,Utilities,Normal
2025-03-02,AMAZON MKTP US*2R9,104.72,Debit,Shopping,Normal
2025-03-11,ELECTRIC BILL,94.66,Debit,Utilities,Normal
2025-03-13,STEAM PURCHASE,19.15,Debit,Entertainment,Normal
2025-03-05,UNKNOWN TRANSACTION 999,1.0,Debit,Uncategorized,Anomaly
2025-03-20,SPAR HYPERMARKET,128.82,Debit,Groceries,Normal
2025-03-04,PAYPAL *SPOTIFY,40.15,Debit,Entertainment,Normal
2025-03-09,PAYPAL *SPOTIFY,53.93,Debit,Entertainment,Normal
2025-02-26,Dominos Pizza,8.43,Debit,Food,Normal
2025-02-10,H&M STORE 42,159.43,Debit,Shopping,Normal
2025-01-07,SPAR HYPERMARKET,87.75,Debit,Groceries,Normal
2025-02-07,Local Diner,31.16,Debit,Food,Normal
2025-04-01,STEAM PURCHASE,30.83,Debit,Entertainment,Normal
2025-01-16,GAS COMPANY,51.03,Debit,Utilities,Normal
2025-02-27,INTERNET CHARGES,160.99,Debit,Utilities,Normal
2025-02-03,UBER TRIP 284922 CA,54.27,Debit,Transport,Normal
2025-04-01,GAS COMPANY,118.53,Debit,Utilities,Normal
2025-01-30,APPLE STORE #R1234,204.44,Debit,Shopping,Normal
2025-02-23,TARGET T-2812,114.98,Debit,Shopping,Normal
2025-02-10,WATER BILL,95.01,Debit,Utilities,Normal
2025-03-07,WATER BILL,85.92,Debit,Utilities,Normal
2025-02-18,PAYPAL *SPOTIFY,52.32,Debit,Entertainment,Normal
2025-02-01,Local Diner,14.97,Debit,Food,Normal
2025-02-10,WATER BILL,131.76,Debit,Utilities,Normal
2025-01-21,GAS COMPANY,131.4,Debit,Utilities,Normal
2025-01-26,LYFT RIDE PGH,48.9,Debit,Transport,Normal
2025-02-27,Dominos Pizza,12.75,Debit,Food,Normal
2025-03-08,STEAM PURCHASE,11.62,Debit,Entertainment,Normal
2025-04-01,COSTCO WHOLESALE,79.44,Debit,Groceries,Normal
2025-02-17,PAYPAL *SPOTIFY,48.06,Debit,Entertainment,Normal
2025-03-17,CINEMA CITY,31.21,Debit,Entertainment,Normal
2025-01-29,AMAZON MKTP US*2R9,199.68,Debit,Shopping,Normal
2025-02-27,LOCAL GROCERY MART,118.97,Debit,Groceries,Normal
2025-02-19,H&M STORE 42,198.13,Debit,Shopping,Normal
2025-01-13,LOCAL GROCERY MART,130.94,Debit,Groceries,Normal
2025-03-06,METRO TICKET,22.19,Debit,Transport,Normal
2025-01-23,SHELL STATION #221,52.52,Debit,Transport,Normal
2025-01-20,STEAM PURCHASE,55.15,Debit,Entertainment,Normal
2025-02-02,WM SUPERCENTER #382,118.23,Debit,Groceries,Normal
2025-02-08,APPLE STORE #R1234,153.38,Debit,Shopping,Normal
2025-03-12,PAYPAL *SPOTIFY,27.61,Debit,Entertainment,Normal
2025-02-09,SHELL STATION #221,27.19,Debit,Transport,Normal
2025-03-23,METRO TICKET,13.33,Debit,Transport,Normal
2025-01-08,ELECTRIC BILL,172.66,Debit,Utilities,Normal
2025-01-18,PAYPAL *SPOTIFY,9.99,Debit,Entertainment,Recurring
2025-01-10,STEAM PURCHASE,41.54,Debit,Entertainment,Normal
2025-02-13,ZARA MALL 09,222.47,Debit,Shopping,Normal
2025-01-17,LOCAL GROCERY MART,82.15,Debit,Groceries,Normal
2025-03-16,APPLE STORE #R1234,54.06,Debit,Shopping,Normal
2025-01-18,GAS COMPANY,103.51,Debit,Utilities,Normal
2025-01-08,INTERNET CHARGES,48.0,Debit,Utilities,Normal
2025-01-30,Starbucks Store 0032,18.3,Debit,Food,Normal
2025-03-19,ELECTRIC BILL,169.98,Debit,Utilities,Normal
2025-02-17,GAS COMPANY,138.27,Debit,Utilities,Normal
2025-01-01,Local Diner,31.99,Debit,Food,Normal
