date,description,amount,transaction_type,year,month,day,day_of_week,year_month,base_category,cluster_id,anomaly_score,is_anomaly
2025-03-09,Netflix.com,56.09,Debit,2025,3,9,6,2025-03,Entertainment,1,0.060477394082324,False
2025-01-10,UBER TRIP 284922 CA,16.63,Debit,2025,1,10,4,2025-01,Transport,3,0.07925780450426612,False
2025-02-25,CINEMA CITY,38.5,Debit,2025,2,25,1,2025-02,Other,4,0.16388246795025324,False
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit,2025,1,1,2,2025-01,Income,2,-0.1505141470278606,True
2025-01-12,STEAM PURCHASE,78.44,Debit,2025,1,12,6,2025-01,Other,3,0.09303642663067879,False
2025-02-13,H&M STORE 42,84.0,Debit,2025,2,13,3,2025-02,Shopping,3,0.1495963590054778,False
2025-01-17,ELECTRIC BILL,49.2,Debit,2025,1,17,4,2025-01,Utilities,3,0.059139273833226924,False
2025-02-27,LOCAL GROCERY MART,89.15,Debit,2025,2,27,3,2025-02,Other,3,0.16457507812596683,False
2025-03-27,Starbucks Store 0032,21.29,Debit,2025,3,27,3,2025-03,Food,1,0.10733815339875602,False
2025-01-19,McDonalds #8492,35.1,Debit,2025,1,19,6,2025-01,Food,1,0.03453852237936528,False
2025-03-19,PAYPAL *SPOTIFY,59.1,Debit,2025,3,19,2,2025-03,Entertainment,1,0.10117008417239143,False
2025-02-18,GAS COMPANY,170.6,Debit,2025,2,18,1,2025-02,Other,4,0.08000956195168324,False
2025-02-07,LYFT RIDE PGH,26.77,Debit,2025,2,7,4,2025-02,Transport,3,0.10612449999309304,False
2025-02-26,STEAM PURCHASE,45.73,Debit,2025,2,26,2,2025-02,Other,4,0.1754351824985126,False
2025-02-13,AMAZON MKTP US*2R9,127.72,Debit,2025,2,13,3,2025-02,Shopping,3,0.14574846291137755,False
2025-03-09,WM SUPERCENTER #382,118.21,Debit,2025,3,9,6,2025-03,Other,3,0.10641815385174364,False
2025-03-29,CINEMA CITY,51.93,Debit,2025,3,29,5,2025-03,Other,3,0.16468883133559065,False
2025-03-13,ZARA MALL 09,193.64,Debit,2025,3,13,3,2025-03,Shopping,3,0.10577421782340429,False
2025-03-02,ELECTRIC BILL,142.16,Debit,2025,3,2,6,2025-03,Utilities,3,0.04956927104490194,False
2025-03-11,Netflix.com,50.52,Debit,2025,3,11,1,2025-03,Entertainment,1,0.10242503631344191,False
2025-01-25,Local Diner,9.18,Debit,2025,1,25,5,2025-01,Food,1,0.049525663683258614,False
2025-01-24,APPLE STORE #R1234,120.25,Debit,2025,1,24,4,2025-01,Shopping,3,0.11288504628466761,False
2025-02-12,PAYPAL *SPOTIFY,17.91,Debit,2025,2,12,2,2025-02,Entertainment,1,0.08213243441318474,False
2025-03-03,GAS COMPANY,100.98,Debit,2025,3,3,0,2025-03,Other,4,0.11043430546994099,False
2025-02-24,McDonalds #8492,11.16,Debit,2025,2,24,0,2025-02,Food,1,0.061918454933605926,False
2025-10-02,PAYPAL *SPOTIFY,39.66,Debit,2025,10,2,3,2025-10,Entertainment,0,-0.0765898162721248,True
2025-01-16,INTERNET CHARGES,148.5,Debit,2025,1,16,3,2025-01,Utilities,3,0.056416007347903196,False
2025-03-19,SHELL STATION #221,58.11,Debit,2025,3,19,2,2025-03,Other,4,0.17417366155269604,False
2025-03-31,LOCAL GROCERY MART,106.15,Debit,2025,3,31,0,2025-03,Other,4,0.1109799995218097,False
2025-01-11,CINEMA CITY,69.37,Debit,2025,1,11,5,2025-01,Other,3,0.12964901494348247,False
2025-02-12,LOCAL GROCERY MART,133.04,Debit,2025,2,12,2,2025-02,Other,4,0.1511723641164418,False
2025-03-22,LYFT RIDE PGH,21.76,Debit,2025,3,22,5,2025-03,Transport,3,0.10383059487316199,False
2025-01-13,ELECTRIC BILL,115.27,Debit,2025,1,13,0,2025-01,Utilities,4,0.0363315846801997,False
2025-03-07,WATER BILL,166.83,Debit,2025,3,7,4,2025-03,Utilities,3,0.04995860353051551,False
2025-02-11,GAS COMPANY,113.57,Debit,2025,2,11,1,2025-02,Other,4,0.1470276835221926,False
2025-02-25,UBER TRIP 284922 CA,57.21,Debit,2025,2,25,1,2025-02,Transport,4,0.11086136959996268,False
2025-02-26,ELECTRIC BILL,135.24,Debit,2025,2,26,2,2025-02,Utilities,4,0.09594477725450279,False
2025-01-07,PAYPAL *SPOTIFY,18.74,Debit,2025,1,7,1,2025-01,Entertainment,1,0.045643062014083746,False
2025-01-06,TARGET T-2812,110.91,Debit,2025,1,6,0,2025-01,Shopping,4,0.061542385487855844,False
2025-02-24,Netflix.com,35.7,Debit,2025,2,24,0,2025-02,Entertainment,1,0.07230827693672681,False
2025-02-07,UBER TRIP 284922 CA,8.48,Debit,2025,2,7,4,2025-02,Transport,3,0.08139645068720824,False
2025-09-02,APPLE STORE #R1234,111.59,Debit,2025,9,2,1,2025-09,Shopping,0,-0.02933615717571736,True
2025-03-25,UBER TRIP 284922 CA,17.21,Debit,2025,3,25,1,2025-03,Transport,4,0.09254404130449417,False
2025-01-20,McDonalds #8492,31.41,Debit,2025,1,20,0,2025-01,Food,1,0.0424183486718015,False
2025-01-29,COSTCO WHOLESALE,127.07,Debit,2025,1,29,2,2025-01,Other,4,0.1270073311963436,False
2025-03-18,PAYPAL *SPOTIFY,9.99,Debit,2025,3,18,1,2025-03,Entertainment,1,0.0632320994336697,False
2025-03-18,INTERNET CHARGES,177.27,Debit,2025,3,18,1,2025-03,Utilities,4,0.024324719611466206,False
2025-02-19,LYFT RIDE PGH,55.94,Debit,2025,2,19,2,2025-02,Transport,4,0.12069311495817808,False
