date,description,amount,transaction_type,Category,Label,year,month,day,day_of_week,year_month,base_category,cluster_id,anomaly_score,is_anomaly
2025-03-09,Netflix.com,56.09,Debit,Entertainment,Normal,2025,3,9,6,2025-03,Entertainment,2,0.03117974720107386,False
2025-01-10,UBER TRIP 284922 CA,16.63,Debit,Transport,Normal,2025,1,10,4,2025-01,Transport,4,0.05504347796602904,False
2025-02-25,CINEMA CITY,38.5,Debit,Entertainment,Normal,2025,2,25,1,2025-02,Other,0,0.14234394543975398,False
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit,Income,Recurring,2025,1,1,2,2025-01,Income,3,-0.1617116758983932,True
2025-01-12,STEAM PURCHASE,78.44,Debit,Entertainment,Normal,2025,1,12,6,2025-01,Other,4,0.04988262177644165,False
2025-02-13,H&M STORE 42,84.0,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,4,0.12452962372582965,False
2025-01-17,ELECTRIC BILL,49.2,Debit,Utilities,Normal,2025,1,17,4,2025-01,Utilities,4,0.047694772190394086,False
2025-02-27,LOCAL GROCERY MART,89.15,Debit,Groceries,Normal,2025,2,27,3,2025-02,Other,4,0.14049125162854637,False
2025-03-27,Starbucks Store 0032,21.29,Debit,Food,Normal,2025,3,27,3,2025-03,Food,2,0.07462316681011638,False
2025-01-19,McDonalds #8492,35.1,Debit,Food,Normal,2025,1,19,6,2025-01,Food,2,0.0009068115115183906,False
2025-03-19,PAYPAL *SPOTIFY,59.1,Debit,Entertainment,Normal,2025,3,19,2,2025-03,Entertainment,2,0.057726450627116566,False
2025-02-18,GAS COMPANY,170.6,Debit,Utilities,Normal,2025,2,18,1,2025-02,Other,0,0.0825645353403705,False
2025-02-07,LYFT RIDE PGH,26.77,Debit,Transport,Normal,2025,2,7,4,2025-02,Transport,1,0.09522121434878716,False
2025-02-26,STEAM PURCHASE,45.73,Debit,Entertainment,Normal,2025,2,26,2,2025-02,Other,0,0.14852008222903496,False
2025-02-13,AMAZON MKTP US*2R9,127.72,Debit,Shopping,Normal,2025,2,13,3,2025-02,Shopping,4,0.12841838300695707,False
