Transaction Date,Description,Amount,Transaction_Type
2025-03-09,Netflix.com,56.09,Debit
10-Jan-2025,UBER TRIP 284922 CA,16.63,Debit
2025-02-25,CINEMA CITY,38.5,Debit
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit
"Jan 12, 2025",STEAM PURCHASE,78.44,Debit
2025-02-13,H&M STORE 42,84.0,Debit
01/17/2025,ELECTRIC BILL,49.2,Debit
"Feb 27, 2025",LOCAL GROCERY MART,89.15,Debit
27/03/2025,Starbucks Store 0032,21.29,Debit
19/01/2025,McDonalds #8492,35.1,Debit
"Mar 19, 2025",PAYPAL *SPOTIFY,59.1,Debit
02/18/2025,GAS COMPANY,170.6,Debit
"Feb 07, 2025",LYFT RIDE PGH,26.77,Debit
"Feb 26, 2025",STEAM PURCHASE,45.73,Debit
"Feb 13, 2025",AMAZON MKTP US*2R9,127.72,Debit
"Mar 09, 2025",WM SUPERCENTER #382,118.21,Debit
2025-03-29,CINEMA CITY,51.93,Debit
13-Mar-2025,ZARA MALL 09,193.64,Debit
03/02/2025,ELECTRIC BILL,142.16,Debit
03/11/2025,Netflix.com,50.52,Debit
2025-01-25,Local Diner,9.18,Debit
24/01/2025,APPLE STORE #R1234,120.25,Debit
12-Feb-2025,PAYPAL *SPOTIFY,17.91,Debit
"Mar 03, 2025",GAS COMPANY,100.98,Debit
24-Feb-2025,McDonalds #8492,11.16,Debit
10/02/2025,PAYPAL *SPOTIFY,39.66,Debit
16/01/2025,INTERNET CHARGES,148.5,Debit
2025-03-19,SHELL STATION #221,58.11,Debit
2025-03-31,LOCAL GROCERY MART,106.15,Debit
01/11/2025,CINEMA CITY,69.37,Debit
"Feb 12, 2025",LOCAL GROCERY MART,133.04,Debit
22-Mar-2025,LYFT RIDE PGH,21.76,Debit
"Jan 13, 2025",ELECTRIC BILL,115.27,Debit
07-Mar-2025,WATER BILL,166.83,Debit
"Feb 11, 2025",GAS COMPANY,113.57,Debit
25/02/2025,UBER TRIP 284922 CA,57.21,Debit
26/02/2025,ELECTRIC BILL,135.24,Debit
"Jan 07, 2025",PAYPAL *SPOTIFY,18.74,Debit
01/06/2025,TARGET T-2812,110.91,Debit
24/02/2025,Netflix.com,35.7,Debit
02/07/2025,UBER TRIP 284922 CA,8.48,Debit
09/02/2025,APPLE STORE #R1234,111.59,Debit
2025-03-25,UBER TRIP 284922 CA,17.21,Debit
2025-01-20,McDonalds #8492,31.41,Debit
"Jan 29, 2025",COSTCO WHOLESALE,127.07,Debit
18-Mar-2025,PAYPAL *SPOTIFY,9.99,Debit
2025-03-18,INTERNET CHARGES,177.27,Debit
19/02/2025,LYFT RIDE PGH,55.94,Debit
11/01/2025,WATER BILL,49.59,Debit
2025-03-01,GAS COMPANY,47.59,Debit
2025-02-21,TARGET T-2812,194.95,Debit
18-Jan-2025,SPAR HYPERMARKET,47.72,Debit
2025-03-10,COSTCO WHOLESALE,86.03,Debit
"Feb 08, 2025",ELECTRIC BILL,171.45,Debit
05-Feb-2025,WATER BILL,127.5,Debit
2025-03-12,WM SUPERCENTER #382,81.85,Debit
15/03/2025,Netflix.com Subscription,15.99,Debit
2025-02-01,SHELL STATION #221,29.43,Debit
"Jan 15, 2025",McDonalds #8492,26.96,Debit
"Feb 06, 2025",KFC Outlet 22,25.91,Debit
21/01/2025,McDonalds #8492,11.08,Debit
24-Mar-2025,SPAR HYPERMARKET,42.86,Debit
16/03/2025,Starbucks Store 0032,37.51,Debit
2025-03-09,GAS COMPANY,164.5,Debit
21/02/2025,CINEMA CITY,40.66,Debit
04-Feb-2025,YELLOW CAB CO,24.62,Debit
03/30/2025,LOCAL GROCERY MART,82.1,Debit
11/01/2025,LYFT RIDE PGH,45.44,Debit
