date,description,amount,transaction_type,year,month,day,day_of_week,year_month,base_category,cluster_id,is_anomaly,anomaly_score
2025-03-09,Netflix.com,56.09,Debit,2025,3,9,6,2025-03,Entertainment,1,False,-0.5165257348101683
2025-01-10,UBER TRIP 284922 CA,16.63,Debit,2025,1,10,4,2025-01,Transport,3,False,-0.49774532438822616
2025-02-25,CINEMA CITY,38.5,Debit,2025,2,25,1,2025-02,Other,4,False,-0.41312066094223904
2025-01-01,ACH DEPOSIT SALARY,3500.0,Credit,2025,1,1,2,2025-01,Income,2,True,-0.7275172759203529
2025-01-12,STEAM PURCHASE,78.44,Debit,2025,1,12,6,2025-01,Other,3,False,-0.4839667022618135
2025-02-13,H&M STORE 42,84.0,Debit,2025,2,13,3,2025-02,Shopping,3,False,-0.4274067698870145
2025-01-17,ELECTRIC BILL,49.2,Debit,2025,1,17,4,2025-01,Utilities,3,False,-0.5178638550592654
2025-02-27,LOCAL GROCERY MART,89.15,Debit,2025,2,27,3,2025-02,Other,3,False,-0.41242805076652544
2025-03-27,Starbucks Store 0032,21.29,Debit,2025,3,27,3,2025-03,Food,1,False,-0.46966497549373626
2025-01-19,McDonalds #8492,35.1,Debit,2025,1,19,6,2025-01,Food,1,False,-0.542464606513127
2025-03-19,PAYPAL *SPOTIFY,59.1,Debit,2025,3,19,2,2025-03,Entertainment,1,False,-0.47583304472010085
2025-02-18,GAS COMPANY,170.6,Debit,2025,2,18,1,2025-02,Other,4,False,-0.49699356694080904
2025-02-07,LYFT RIDE PGH,26.77,Debit,2025,2,7,4,2025-02,Transport,3,False,-0.47087862889939924
2025-02-26,STEAM PURCHASE,45.73,Debit,2025,2,26,2,2025-02,Other,4,False,-0.4015679463939797
2025-02-13,AMAZON MKTP US*2R9,127.72,Debit,2025,2,13,3,2025-02,Shopping,3,False,-0.4312546659811147
2025-03-09,WM SUPERCENTER #382,118.21,Debit,2025,3,9,6,2025-03,Other,3,False,-0.47058497504074864
2025-03-29,CINEMA CITY,51.93,Debit,2025,3,29,5,2025-03,Other,3,False,-0.41231429755690163
2025-03-13,ZARA MALL 09,193.64,Debit,2025,3,13,3,2025-03,Shopping,3,False,-0.471228911069088
2025-03-02,ELECTRIC BILL,142.16,Debit,2025,3,2,6,2025-03,Utilities,3,False,-0.5274338578475903
2025-03-11,Netflix.com,50.52,Debit,2025,3,11,1,2025-03,Entertainment,1,False,-0.47457809257905037
2025-01-25,Local Diner,9.18,Debit,2025,1,25,5,2025-01,Food,1,False,-0.5274774652092337
2025-01-24,APPLE STORE #R1234,120.25,Debit,2025,1,24,4,2025-01,Shopping,3,False,-0.46411808260782467
2025-02-12,PAYPAL *SPOTIFY,17.91,Debit,2025,2,12,2,2025-02,Entertainment,1,False,-0.49487069447930754
2025-03-03,GAS COMPANY,100.98,Debit,2025,3,3,0,2025-03,Other,4,False,-0.4665688234225513
2025-02-24,McDonalds #8492,11.16,Debit,2025,2,24,0,2025-02,Food,1,False,-0.5150846739588864
2025-10-02,PAYPAL *SPOTIFY,39.66,Debit,2025,10,2,3,2025-10,Entertainment,0,True,-0.6535929451646171
2025-01-16,INTERNET CHARGES,148.5,Debit,2025,1,16,3,2025-01,Utilities,3,False,-0.5205871215445891
2025-03-19,SHELL STATION #221,58.11,Debit,2025,3,19,2,2025-03,Other,4,False,-0.40282946733979624
2025-03-31,LOCAL GROCERY MART,106.15,Debit,2025,3,31,0,2025-03,Other,4,False,-0.4660231293706826
2025-01-11,CINEMA CITY,69.37,Debit,2025,1,11,5,2025-01,Other,3,False,-0.4473541139490098
2025-02-12,LOCAL GROCERY MART,133.04,Debit,2025,2,12,2,2025-02,Other,4,False,-0.4258307647760505
2025-03-22,LYFT RIDE PGH,21.76,Debit,2025,3,22,5,2025-03,Transport,3,False,-0.4731725340193303
2025-01-13,ELECTRIC BILL,115.27,Debit,2025,1,13,0,2025-01,Utilities,4,False,-0.5406715442122926
2025-03-07,WATER BILL,166.83,Debit,2025,3,7,4,2025-03,Utilities,3,False,-0.5270445253619768
2025-02-11,GAS COMPANY,113.57,Debit,2025,2,11,1,2025-02,Other,4,False,-0.4299754453702997
2025-02-25,UBER TRIP 284922 CA,57.21,Debit,2025,2,25,1,2025-02,Transport,4,False,-0.4661417592925296
2025-02-26,ELECTRIC BILL,135.24,Debit,2025,2,26,2,2025-02,Utilities,4,False,-0.4810583516379895
2025-01-07,PAYPAL *SPOTIFY,18.74,Debit,2025,1,7,1,2025-01,Entertainment,1,False,-0.5313600668784085
2025-01-06,TARGET T-2812,110.91,Debit,2025,1,6,0,2025-01,Shopping,4,False,-0.5154607434046364
2025-02-24,Netflix.com,35.7,Debit,2025,2,24,0,2025-02,Entertainment,1,False,-0.5046948519557655
2025-02-07,UBER TRIP 284922 CA,8.48,Debit,2025,2,7,4,2025-02,Transport,3,False,-0.49560667820528403
2025-09-02,APPLE STORE #R1234,111.59,Debit,2025,9,2,1,2025-09,Shopping,0,True,-0.6063392860682096
2025-03-25,UBER TRIP 284922 CA,17.21,Debit,2025,3,25,1,2025-03,Transport,4,False,-0.4844590875879981
2025-01-20,McDonalds #8492,31.41,Debit,2025,1,20,0,2025-01,Food,1,False,-0.5345847802206908
2025-01-29,COSTCO WHOLESALE,127.07,Debit,2025,1,29,2,2025-01,Other,4,False,-0.44999579769614867
2025-03-18,PAYPAL *SPOTIFY,9.99,Debit,2025,3,18,1,2025-03,Entertainment,1,False,-0.5137710294588226
2025-03-18,INTERNET CHARGES,177.27,Debit,2025,3,18,1,2025-03,Utilities,4,False,-0.5526784092810261
2025-02-19,LYFT RIDE PGH,55.94,Debit,2025,2,19,2,2025-02,Transport,4,False,-0.4563100139343142
2025-11-01,WATER BILL,49.59,Debit,2025,11,1,5,2025-11,Utilities,0,True,-0.6623791520797918
2025-03-01,GAS COMPANY,47.59,Debit,2025,3,1,5,2025-03,Other,3,False,-0.4144857435098274
2025-02-21,TARGET T-2812,194.95,Debit,2025,2,21,4,2025-02,Shopping,3,False,-0.4745883940376599
2025-01-18,SPAR HYPERMARKET,47.72,Debit,2025,1,18,5,2025-01,Other,3,False,-0.43932776893192554
2025-03-10,COSTCO WHOLESALE,86.03,Debit,2025,3,10,0,2025-03,Other,4,False,-0.46676131159969597
2025-02-08,ELECTRIC BILL,171.45,Debit,2025,2,8,5,2025-02,Utilities,3,False,-0.5294698705889892
2025-02-05,WATER BILL,127.5,Debit,2025,2,5,2,2025-02,Utilities,4,False,-0.480140202015142
2025-03-12,WM SUPERCENTER #382,81.85,Debit,2025,3,12,2,2025-03,Other,4,False,-0.41421593420160757
2025-03-15,Netflix.com Subscription,15.99,Debit,2025,3,15,5,2025-03,Entertainment,1,False,-0.5204391511769527
2025-02-01,SHELL STATION #221,29.43,Debit,2025,2,1,5,2025-02,Other,3,False,-0.4222023261851163
2025-01-15,McDonalds #8492,26.96,Debit,2025,1,15,2,2025-01,Food,1,False,-0.4860217972837508
